Territori;Tipus de territori;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Crecimiento_%
Sant Andreu (Barri);;;;;;;;;;;;;;;;9.19;10.03;10.9;12.33;11.91;12.47;12.5;11.89;12.65;13.96;13.92;14.76;39.1824526420738
la Sagrera;Barri;;;;;;;;;;;;;;;9.05;9.73;10.49;10.84;11.92;12.65;12.4;11.98;12.89;14.54;14.43;14.58;49.43473792394654
el Congrés i els Indians;Barri;;;;;;;;;;;;;;;9.24;9.45;10.39;11.37;11.93;12.07;12.52;11.68;12.46;14.02;14.61;13.81;48.35978835978836
Navas;Barri;;;;;;;;;;;;;;;8.91;9.73;10.81;11.47;12.03;12.43;12.67;11.88;12.65;14.45;14.34;14.31;48.50976361767727
Sant Martí;Districte;5.74;6.5;7.47;7.65;8.2;9.2;10.35;11.21;11.84;11.59;11.23;10.9;10.48;9.87;9.75;10.64;11.74;12.9;13.21;13.85;13.79;13.31;14.49;16.18;16.24;16.18;52.06766917293232
el Camp de l'Arpa del Clot;Barri;;;;;;;;;;;;;;;9.74;10.63;11.71;12.95;13.03;13.54;13.57;13.0;14.14;15.76;15.65;15.72;48.2596425211665
el Clot;Barri;;;;;;;;;;;;;;;9.63;10.31;11.19;12.45;12.55;13.25;13.35;12.88;13.63;15.4;15.57;15.62;49.369544131910764
el Parc i la Llacuna del Poblenou;Barri;;;;;;;;;;;;;;;10.24;11.49;12.79;13.76;13.96;15.02;14.33;14.27;15.9;17.25;16.86;18.38;50.13054830287206
la Vila Olímpica del Poblenou;Barri;;;;;;;;;;;;;;;13.18;14.29;16.21;17.13;16.87;17.55;17.66;16.76;19.11;20.38;21.87;21.07;42.61721483554934
el Poblenou;Barri;;;;;;;;;;;;;;;10.57;11.73;12.79;13.97;14.46;15.08;14.92;14.33;16.51;17.78;18.11;18.17;51.57715260017051
Diagonal Mar i el Front Marítim del Poblenou;Barri;;;;;;;;;;;;;;;11.18;12.49;13.87;16.03;15.27;17.26;16.66;15.66;17.24;18.81;19.63;21.82;50.60048038430743
el Besòs i el Maresme;Barri;;;;;;;;;;;;;;;7.74;8.38;8.77;10.03;10.95;11.34;11.91;11.34;12.13;12.49;13.44;12.88;49.045346062052495
Provençals del Poblenou;Barri;;;;;;;;;;;;;;;9.67;9.96;11.78;12.94;13.63;14.11;13.98;13.47;14.54;16.35;16.12;16.48;64.1566265060241
Sant Martí de Provençals;Barri;;;;;;;;;;;;;;;8.88;9.4;9.97;10.9;11.5;11.9;11.78;11.49;12.13;13.54;14.1;13.52;44.04255319148935
la Verneda i la Pau;Barri;;;;;;;;;;;;;;;8.32;9.1;9.11;10.16;11.19;11.48;11.55;11.07;11.42;16.3;14.52;13.2;79.12087912087914
